關鍵字,標準症狀,類型,來源,備註
青光眼,青光眼,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
飛蚊症,飛蚊症,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
其他眼病,其他眼病,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
鼻乾及流涕,鼻乾及流涕,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
鼻塞,鼻塞,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
過敏性鼻炎,過敏性鼻炎,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
鼻淵,鼻淵,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
鼻涕倒流,鼻涕倒流,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
鼻蓄膿症(鼻淵、鼻涕倒流),鼻淵,原始標題,董氏奇穴治療析要,治療析要目錄症狀原始標題
鼻蓄膿症(鼻淵、鼻涕倒流),鼻涕倒流,原始標題,董氏奇穴治療析要,治療析要目錄症狀原始標題
鼻淵、鼻涕倒流,鼻淵,複合詞,董氏奇穴治療析要,頂層頓號拆分前原字串
鼻淵、鼻涕倒流,鼻涕倒流,複合詞,董氏奇穴治療析要,頂層頓號拆分前原字串
酒渣鼻,酒渣鼻,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
流鼻血,流鼻血,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
鼻衄,鼻衄,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
流鼻血(鼻衄),流鼻血,原始標題,董氏奇穴治療析要,治療析要目錄症狀原始標題
流鼻血(鼻衄),鼻衄,原始標題,董氏奇穴治療析要,治療析要目錄症狀原始標題
流鼻血、鼻衄,流鼻血,複合詞,董氏奇穴治療析要,頂層頓號拆分前原字串
流鼻血、鼻衄,鼻衄,複合詞,董氏奇穴治療析要,頂層頓號拆分前原字串
中耳炎,中耳炎,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
耳脹,耳脹,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
耳內脹,耳脹,原始標題,董氏奇穴治療析要,治療析要目錄症狀原始標題
耳鳴,耳鳴,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
聾啞,聾啞,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
顳頜關節紊亂,顳頜關節紊亂,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
顳頜關節紊亂（TMJ、TMD、temporomandibular joint disorder、temporomandibular disorders）,顳頜關節紊亂,相關關鍵字,董氏奇穴治療析要,匹配標準症狀原字串
TMJ,顳頜關節紊亂,別名,董氏奇穴治療析要,括號內輔助詞
TMD,顳頜關節紊亂,別名,董氏奇穴治療析要,括號內輔助詞
temporomandibular joint disorder,顳頜關節紊亂,別名,董氏奇穴治療析要,括號內輔助詞
temporomandibular disorders,顳頜關節紊亂,別名,董氏奇穴治療析要,括號內輔助詞
下頜骨痛(口不能張、顳頜關節紊亂症),顳頜關節紊亂,原始標題,董氏奇穴治療析要,治療析要目錄症狀原始標題
舌下腫,舌下腫,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
口瘡,口瘡,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
口內生瘡(口腔潰瘍),口瘡,原始標題,董氏奇穴治療析要,治療析要目錄症狀原始標題
牙痛,牙痛,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
喉痛,喉痛,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
喉炎,喉炎,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
喉痛(喉炎),喉痛,原始標題,董氏奇穴治療析要,治療析要目錄症狀原始標題
喉痛(喉炎),喉炎,原始標題,董氏奇穴治療析要,治療析要目錄症狀原始標題
喉痛、喉炎,喉痛,複合詞,董氏奇穴治療析要,頂層頓號拆分前原字串
喉痛、喉炎,喉炎,複合詞,董氏奇穴治療析要,頂層頓號拆分前原字串
魚骨刺喉,魚骨刺喉,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
梅核氣,梅核氣,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
失音,失音,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
經痛,經痛,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
痛經,經痛,原始標題,董氏奇穴治療析要,治療析要目錄症狀原始標題
崩漏,崩漏,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
月經不調,月經不調,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
月經不調及閉經,月經不調,原始標題,董氏奇穴治療析要,治療析要目錄症狀原始標題
赤白帶,赤白帶,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
陰腫,陰腫,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
子宮炎,子宮炎,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
陰道炎,陰道炎,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
子宮炎(陰道炎),子宮炎,原始標題,董氏奇穴治療析要,治療析要目錄症狀原始標題
子宮炎(陰道炎),陰道炎,原始標題,董氏奇穴治療析要,治療析要目錄症狀原始標題
子宮炎、陰道炎,子宮炎,複合詞,董氏奇穴治療析要,頂層頓號拆分前原字串
子宮炎、陰道炎,陰道炎,複合詞,董氏奇穴治療析要,頂層頓號拆分前原字串
子宮肌瘤,子宮肌瘤,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
輸卵管不通,輸卵管不通,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
久年不孕,久年不孕,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
難產,難產,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
兒科,兒科,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
皮膚病,皮膚病,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
皮膚敏感,皮膚敏感,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
牛皮癬,牛皮癬,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
青春痘,青春痘,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
蕁麻疹,蕁麻疹,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
風疹,風疹,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
風疹塊(蕁麻疹),蕁麻疹,原始標題,董氏奇穴治療析要,治療析要目錄症狀原始標題
風疹塊(蕁麻疹),風疹,原始標題,董氏奇穴治療析要,治療析要目錄症狀原始標題
蕁麻疹、風疹,蕁麻疹,複合詞,董氏奇穴治療析要,頂層頓號拆分前原字串
蕁麻疹、風疹,風疹,複合詞,董氏奇穴治療析要,頂層頓號拆分前原字串
